Time (h),G1,eS,S/G2/M
0,100,52,60
0.25,104,48,54
0.5,103,45,55
0.75,108,44,55
1,103,50,61
1.25,105,48,61
1.5,112,44,65
1.75,111,40,69
2,106,42,67
2.25,107,42,68
2.5,110,40,71
2.75,119,39,72
3,121,37,82
3.25,115,44,74
3.5,121,38,71
3.75,121,37,74
4,119,39,73
4.25,121,42,71
4.5,122,40,74
4.75,120,42,80
5,120,46,75
5.25,122,43,75
5.5,124,40,77
5.75,122,36,79
6,129,33,84
6.25,127,35,86
6.5,125,41,89
6.75,125,39,91
7,122,43,83
7.25,120,37,87
7.5,124,36,88
7.75,123,38,88
8,118,40,86
8.25,124,37,88
8.5,117,39,92
8.75,113,43,91
9,118,41,91
9.25,117,43,91
9.5,122,43,97
9.75,126,44,95
10,127,46,95
10.25,125,44,94
10.5,132,45,93
10.75,126,51,94
11,125,43,97
11.25,122,45,97
11.5,126,40,98
11.75,124,43,93
12,127,42,95
12.25,123,44,97
12.5,120,46,92
12.75,118,48,91
13,124,49,88
13.25,119,49,86
13.5,121,50,89
13.75,124,55,87
14,134,51,89
14.25,142,45,95
14.5,144,49,93
14.75,137,52,92
15,144,42,94
15.25,150,42,96
15.5,155,47,89
15.75,155,43,83
16,153,43,88
16.25,157,48,83
16.5,160,42,93
16.75,160,45,88
17,152,50,87
17.25,163,44,81
17.5,165,49,88
17.75,173,44,90
18,174,47,85
18.25,173,55,84
18.5,171,53,82
18.75,172,51,85
19,185,53,82
19.25,188,53,79
19.5,186,53,82
19.75,200,48,79
20,198,50,81
20.25,193,55,75
20.5,197,58,72
20.75,205,56,69
21,206,56,73
21.25,218,48,73
21.5,227,48,74
21.75,213,47,76
22,213,46,77
22.25,227,42,75
22.5,222,43,73
22.75,218,47,76
23,228,41,74
23.25,230,46,74
23.5,232,46,77
23.75,230,50,76
24,228,46,78
24.25,225,49,79
24.5,236,53,71
24.75,238,46,79
25,240,47,77
25.25,241,48,72
25.5,236,50,75
25.75,241,50,73
26,234,48,77
26.25,234,50,74
26.5,242,49,80
26.75,244,46,80
27,240,46,78
27.25,241,48,73
27.5,254,42,73
27.75,249,50,75
28,257,41,85
28.25,253,55,76
28.5,258,48,81
28.75,257,49,78
29,258,51,75
29.25,265,48,72
29.5,265,45,74
29.75,270,45,70
30,261,49,69
30.25,263,50,74
30.5,270,45,71
30.75,271,52,63
31,274,50,63
31.25,266,58,59
31.5,269,54,63
31.75,275,57,59
32,275,61,60
32.25,277,66,62
32.5,269,70,65
32.75,287,62,61
33,289,63,62
33.25,283,65,61
33.5,288,68,61
33.75,291,63,66
34,281,81,63
34.25,282,73,61
34.5,287,73,66
34.75,275,85,65
35,283,77,63
35.25,297,70,61
35.5,291,79,62
35.75,281,89,64
36,275,94,59
36.25,279,93,62
36.5,270,105,57
36.75,278,94,60
37,280,97,68
37.25,279,100,70
37.5,281,100,69
37.75,269,111,72
38,275,107,77
38.25,276,106,82
38.5,287,99,74
38.75,282,106,80
39,272,110,87
39.25,269,115,90
39.5,287,101,83
39.75,277,105,87
40,278,116,86
40.25,281,113,82
40.5,270,124,92
40.75,270,117,92
41,264,120,93
41.25,278,108,98
41.5,266,122,92
41.75,269,125,92
42,270,133,87
42.25,256,133,93
42.5,261,130,89
42.75,257,135,101
43,254,129,92
43.25,264,132,92
43.5,258,139,87
43.75,259,147,93
44,266,144,88
44.25,264,145,94
44.5,260,155,89
44.75,260,154,88
45,270,148,91
45.25,275,154,90
45.5,276,145,97
45.75,276,142,101
46,274,145,93
46.25,279,138,98
46.5,277,147,98
46.75,284,148,99
47,282,151,97
47.25,290,149,95
47.5,275,152,103
47.75,268,163,103
