Time (h),G1,eS,S/G2/M
0,106,209,76
0.25,107,206,77
0.5,112,204,83
0.75,103,207,88
1,103,205,90
1.25,108,203,89
1.5,100,208,92
1.75,103,200,104
2,110,198,102
2.25,109,204,104
2.5,108,200,112
2.75,107,189,117
3,103,182,133
3.25,100,184,130
3.5,100,187,134
3.75,95,190,138
4,91,185,136
4.25,99,180,141
4.5,106,176,145
4.75,113,168,157
5,114,167,151
5.25,118,162,159
5.5,120,160,166
5.75,126,162,161
6,131,155,170
6.25,137,155,165
6.5,136,157,158
6.75,146,158,154
7,149,158,152
7.25,156,159,150
7.5,158,151,150
7.75,169,156,139
8,177,156,139
8.25,190,148,141
8.5,190,155,137
8.75,205,155,130
9,206,150,129
9.25,214,163,129
9.5,218,167,126
9.75,223,164,122
10,232,170,120
10.25,240,169,116
10.5,251,172,113
10.75,267,169,112
11,271,172,118
11.25,270,181,107
11.5,275,184,109
11.75,295,187,105
12,294,198,106
12.25,290,206,100
12.5,294,210,106
12.75,277,215,111
13,282,222,111
13.25,285,226,107
13.5,273,239,106
13.75,271,245,108
14,272,249,106
14.25,280,251,107
14.5,257,270,102
14.75,256,272,107
15,257,281,110
15.25,254,291,102
15.5,242,294,116
15.75,239,304,112
16,239,307,114
16.25,229,324,109
16.5,229,329,114
16.75,216,340,114
17,224,343,116
17.25,226,344,116
17.5,232,349,117
17.75,215,354,116
18,207,361,121
18.25,212,360,124
18.5,211,358,137
18.75,208,367,130
19,200,373,135
19.25,206,365,148
19.5,200,373,140
19.75,205,376,141
20,202,378,139
20.25,200,376,146
20.5,200,378,153
20.75,205,371,154
21,201,384,147
21.25,198,379,161
21.5,210,374,168
21.75,218,355,176
22,218,365,171
22.25,214,369,168
22.5,220,361,175
22.75,205,366,181
23,219,360,188
23.25,233,364,182
23.5,239,364,186
23.75,241,371,168
24,254,362,171
24.25,262,357,174
24.5,255,367,171
24.75,267,358,181
25,273,351,197
25.25,287,340,195
25.5,291,346,191
25.75,302,345,201
26,331,334,190
26.25,328,348,183
26.5,335,340,183
26.75,344,351,172
27,355,349,174
27.25,356,354,174
27.5,371,369,162
27.75,392,363,173
28,404,367,168
28.25,399,382,162
28.5,413,374,168
28.75,410,375,175
29,424,380,159
29.25,443,383,162
29.5,451,382,162
29.75,455,397,154
30,459,397,150
30.25,464,401,165
30.5,473,391,169
30.75,474,413,165
31,468,431,157
31.25,470,428,171
31.5,496,423,165
31.75,489,443,163
32,466,463,163
32.25,480,464,163
32.5,489,480,147
32.75,484,483,160
33,479,505,160
33.25,476,513,161
33.5,461,527,158
33.75,482,533,148
34,466,544,155
34.25,473,537,171
34.5,458,561,162
34.75,449,568,181
35,434,582,182
35.25,439,586,192
35.5,424,605,192
35.75,426,607,191
36,427,602,203
36.25,435,615,192
36.5,441,601,212
36.75,426,626,208
37,413,647,197
37.25,410,649,208
37.5,416,650,216
37.75,403,658,231
38,393,662,240
38.25,392,677,237
38.5,397,674,246
38.75,395,670,247
39,393,679,257
39.25,392,685,263
39.5,391,675,287
39.75,374,680,282
40,388,667,295
40.25,401,674,290
40.5,410,672,296
40.75,406,674,303
41,405,671,309
41.25,422,669,313
41.5,443,659,314
41.75,437,659,327
42,454,671,305
42.25,447,675,324
42.5,460,669,314
42.75,475,658,326
43,487,670,320
43.25,506,654,342
43.5,524,665,324
43.75,528,664,312
44,554,677,307
44.25,564,658,304
44.5,586,659,306
44.75,606,661,308
45,619,636,320
45.25,652,634,325
45.5,643,645,306
45.75,673,624,324
46,695,621,344
46.25,708,622,345
46.5,710,630,355
46.75,733,632,340
47,754,624,336
47.25,758,635,337
47.5,771,633,332
47.75,791,630,346
