Time (h),G1,eS,S/G2/M
0,105,44,106
0.25,101,57,101
0.5,100,54,96
0.75,97,51,108
1,92,58,103
1.25,107,51,97
1.5,104,54,100
1.75,111,50,110
2,109,46,115
2.25,108,49,109
2.5,122,52,106
2.75,101,54,108
3,104,57,108
3.25,115,51,110
3.5,111,59,112
3.75,109,58,109
4,109,48,111
4.25,107,54,120
4.5,111,50,114
4.75,110,56,118
5,115,53,122
5.25,104,57,120
5.5,109,50,124
5.75,113,44,129
6,97,57,122
6.25,112,48,120
6.5,114,55,125
6.75,107,54,135
7,108,49,146
7.25,111,46,136
7.5,109,48,139
7.75,101,40,137
8,101,44,133
8.25,102,47,137
8.5,104,48,139
8.75,101,47,143
9,102,42,142
9.25,105,45,147
9.5,100,47,149
9.75,105,46,144
10,126,40,148
10.25,124,34,159
10.5,120,34,158
10.75,118,40,151
11,128,36,152
11.25,127,33,159
11.5,116,40,152
11.75,115,42,162
12,118,35,163
12.25,118,39,169
12.5,121,38,163
12.75,130,35,174
13,129,35,156
13.25,134,31,179
13.5,122,40,165
13.75,144,36,170
14,149,32,179
14.25,143,33,173
14.5,136,39,161
14.75,152,36,162
15,138,35,177
15.25,142,36,174
15.5,146,38,162
15.75,145,40,168
16,154,45,164
16.25,146,44,174
16.5,153,39,165
16.75,158,41,172
17,152,45,157
17.25,159,38,171
17.5,154,37,159
17.75,175,40,152
18,175,35,166
18.25,172,41,160
18.5,173,41,167
18.75,175,44,153
19,187,47,154
19.25,188,50,151
19.5,193,56,144
19.75,205,60,135
20,210,56,143
20.25,217,54,150
20.5,231,51,144
20.75,222,51,140
21,224,55,149
21.25,234,57,147
21.5,230,56,134
21.75,243,53,144
22,234,56,146
22.25,232,50,158
22.5,234,51,137
22.75,233,57,144
23,242,52,145
23.25,244,56,153
23.5,246,55,154
23.75,246,58,154
24,253,62,160
24.25,257,51,153
24.5,252,61,157
24.75,255,67,162
25,251,68,156
25.25,258,68,178
25.5,241,80,166
25.75,222,87,174
26,255,75,177
26.25,241,94,180
26.5,238,94,168
26.75,242,89,178
27,256,89,181
27.25,240,97,169
27.5,254,98,178
27.75,241,92,187
28,250,94,182
28.25,242,90,201
28.5,247,107,185
28.75,244,105,186
29,247,88,211
29.25,240,103,190
29.5,233,102,194
29.75,247,83,215
30,240,87,197
30.25,242,95,204
30.5,239,90,212
30.75,240,94,233
31,228,108,220
31.25,243,100,208
31.5,228,98,217
31.75,235,94,224
32,247,93,220
32.25,248,90,227
32.5,252,85,246
32.75,260,83,251
33,244,89,244
33.25,256,84,262
33.5,250,84,252
33.75,245,103,232
34,278,84,264
34.25,269,93,249
34.5,269,94,243
34.75,273,94,265
35,266,93,259
35.25,268,89,271
35.5,281,84,276
35.75,279,92,290
36,294,89,277
36.25,280,94,276
36.5,297,87,277
36.75,295,80,269
37,283,88,266
37.25,295,87,266
37.5,309,81,259
37.75,301,90,270
38,291,97,261
38.25,308,88,284
38.5,311,82,269
38.75,308,96,252
39,322,82,277
39.25,304,96,257
39.5,311,98,250
39.75,308,95,264
40,313,103,256
40.25,345,104,255
40.5,335,107,263
40.75,346,98,266
41,355,105,265
41.25,328,118,270
41.5,347,113,267
41.75,341,112,266
42,345,116,263
42.25,364,107,272
42.5,356,104,268
42.75,366,111,264
43,357,102,269
43.25,354,114,266
43.5,368,111,262
43.75,380,103,274
44,359,98,286
44.25,380,99,264
44.5,373,110,268
44.75,383,106,250
45,380,113,276
45.25,384,107,294
45.5,381,114,273
45.75,383,111,266
46,393,105,274
46.25,391,105,278
46.5,384,105,280
46.75,397,113,272
47,393,112,283
47.25,403,105,282
47.5,406,102,283
47.75,407,115,290
