Time (h),G1,eS,S/G2/M
0,129,34,77
0.25,131,35,77
0.5,128,35,69
0.75,132,31,75
1,136,31,72
1.25,138,36,76
1.5,134,40,78
1.75,133,38,79
2,135,41,86
2.25,133,38,87
2.5,139,38,80
2.75,138,39,83
3,141,37,86
3.25,148,37,85
3.5,146,38,86
3.75,137,47,81
4,131,45,81
4.25,129,44,76
4.5,136,41,84
4.75,127,48,83
5,129,42,85
5.25,129,46,79
5.5,129,48,80
5.75,134,46,86
6,129,44,90
6.25,124,48,90
6.5,133,44,94
6.75,130,49,89
7,139,46,90
7.25,141,46,86
7.5,136,48,87
7.75,140,54,86
8,147,50,82
8.25,146,46,91
8.5,147,47,87
8.75,150,44,95
9,144,47,91
9.25,149,50,87
9.5,150,48,88
9.75,157,48,88
10,150,52,89
10.25,159,52,93
10.5,151,54,90
10.75,160,49,101
11,172,52,90
11.25,167,50,96
11.5,170,48,100
11.75,157,52,93
12,165,53,88
12.25,166,55,96
12.5,161,59,94
12.75,171,49,94
13,177,52,91
13.25,170,50,91
13.5,177,48,93
13.75,182,47,99
14,180,46,106
14.25,174,50,94
14.5,174,54,100
14.75,181,50,98
15,174,50,101
15.25,179,54,104
15.5,175,61,100
15.75,190,53,103
16,182,58,100
16.25,176,64,97
16.5,182,59,98
16.75,175,67,98
17,189,60,96
17.25,193,62,101
17.5,190,69,99
17.75,195,68,100
18,199,65,98
18.25,212,59,99
18.5,213,55,92
18.75,217,59,96
19,219,62,98
19.25,206,61,101
19.5,209,58,103
19.75,214,50,108
20,212,57,101
20.25,203,56,97
20.5,211,59,97
20.75,212,61,98
21,214,55,106
21.25,213,60,101
21.5,209,60,103
21.75,216,59,103
22,219,62,102
22.25,222,59,104
22.5,217,65,99
22.75,235,61,109
23,226,70,98
23.25,229,65,101
23.5,239,61,98
23.75,242,63,104
24,243,67,102
24.25,242,68,103
24.5,244,66,101
24.75,248,59,103
25,253,65,102
25.25,245,74,100
25.5,256,65,101
25.75,262,65,101
26,248,70,105
26.25,261,66,104
26.5,265,67,99
26.75,260,71,96
27,254,76,103
27.25,257,74,100
27.5,260,72,97
27.75,271,81,90
28,267,77,96
28.25,273,74,96
28.5,272,72,93
28.75,276,65,98
29,274,73,91
29.25,282,64,101
29.5,284,65,98
29.75,285,67,93
30,292,68,91
30.25,289,72,89
30.5,291,70,95
30.75,303,68,95
31,310,71,96
31.25,311,73,101
31.5,319,64,105
31.75,317,71,100
32,325,71,98
32.25,330,68,94
32.5,319,71,94
32.75,315,73,102
33,324,69,89
33.25,320,79,91
33.5,328,76,87
33.75,323,77,84
34,316,86,81
34.25,317,85,87
34.5,316,75,88
34.75,323,74,85
35,324,75,83
35.25,317,85,82
35.5,318,82,80
35.75,316,97,82
36,329,89,84
36.25,322,94,81
36.5,320,103,80
36.75,339,93,75
37,336,98,80
37.25,343,97,74
37.5,349,98,70
37.75,356,96,73
38,345,110,78
38.25,342,112,74
38.5,346,113,75
38.75,345,114,81
39,351,113,76
39.25,333,119,81
39.5,353,116,79
39.75,349,120,86
40,343,118,94
40.25,345,115,94
40.5,331,130,89
40.75,327,128,90
41,322,134,99
41.25,332,123,93
41.5,320,133,97
41.75,319,135,90
42,332,125,95
42.25,316,131,96
42.5,325,143,91
42.75,321,142,92
43,341,132,95
43.25,325,139,94
43.5,320,145,97
43.75,331,141,104
44,339,137,105
44.25,318,155,101
44.5,326,156,107
44.75,328,150,102
45,332,148,96
45.25,329,161,103
45.5,321,167,103
45.75,323,166,99
46,327,165,105
46.25,325,168,104
46.5,318,169,106
46.75,317,176,110
47,329,159,107
47.25,328,160,117
47.5,312,167,119
47.75,317,165,122
