Time (h),G1,eS,S/G2/M
0,69,44,48
0.25,68,43,55
0.5,79,38,58
0.75,72,38,56
1,72,41,58
1.25,66,38,58
1.5,66,42,58
1.75,67,42,58
2,65,46,57
2.25,64,43,63
2.5,73,42,66
2.75,68,44,64
3,67,46,61
3.25,65,38,65
3.5,69,39,63
3.75,63,37,67
4,61,43,61
4.25,63,38,66
4.5,66,42,62
4.75,59,46,64
5,61,41,69
5.25,59,44,66
5.5,63,40,69
5.75,66,41,71
6,62,44,74
6.25,56,45,73
6.5,59,44,69
6.75,64,45,66
7,63,43,73
7.25,59,42,74
7.5,60,40,79
7.75,55,43,75
8,63,39,73
8.25,57,42,77
8.5,57,44,76
8.75,64,41,87
9,59,42,82
9.25,58,38,84
9.5,56,42,86
9.75,58,32,94
10,59,35,88
10.25,58,34,90
10.5,53,43,85
10.75,54,38,91
11,64,31,96
11.25,57,36,89
11.5,59,35,90
11.75,48,45,85
12,60,38,85
12.25,57,38,85
12.5,64,33,93
12.75,62,37,87
13,60,36,87
13.25,61,38,80
13.5,63,37,82
13.75,61,38,82
14,63,35,85
14.25,66,39,82
14.5,73,33,86
14.75,77,34,80
15,74,36,80
15.25,79,34,82
15.5,83,37,80
15.75,82,36,80
16,79,37,87
16.25,85,34,80
16.5,87,32,84
16.75,86,40,81
17,88,38,83
17.25,83,36,79
17.5,95,36,80
17.75,88,36,83
18,89,39,78
18.25,89,49,75
18.5,94,45,81
18.75,97,48,79
19,101,45,84
19.25,104,42,85
19.5,104,46,89
19.75,95,40,86
20,99,42,82
20.25,103,40,82
20.5,97,40,84
20.75,91,41,90
21,99,47,88
21.25,105,43,86
21.5,102,49,89
21.75,91,50,84
22,103,46,81
22.25,102,50,84
22.5,101,48,101
22.75,103,45,90
23,98,53,93
23.25,107,47,93
23.5,106,49,95
23.75,94,60,90
24,101,53,101
24.25,111,47,106
24.5,98,48,106
24.75,100,48,106
25,110,45,108
25.25,110,47,104
25.5,103,46,111
25.75,105,44,102
26,116,46,103
26.25,118,47,103
26.5,122,46,97
26.75,107,50,105
27,113,53,94
27.25,106,53,104
27.5,112,48,104
27.75,113,48,109
28,114,49,103
28.25,115,46,108
28.5,121,47,107
28.75,109,49,105
29,116,49,112
29.25,116,50,110
29.5,121,52,110
29.75,122,55,113
30,128,44,120
30.25,117,50,114
30.5,127,46,108
30.75,120,53,110
31,124,56,108
31.25,122,54,101
31.5,112,54,107
31.75,110,56,114
32,112,53,121
32.25,113,60,110
32.5,111,58,111
32.75,108,53,129
33,116,60,124
33.25,105,55,122
33.5,107,54,144
33.75,100,56,128
34,105,56,129
34.25,97,59,123
34.5,96,55,127
34.75,93,59,130
35,94,57,133
35.25,95,52,130
35.5,99,54,128
35.75,104,50,127
36,102,56,126
36.25,103,52,133
36.5,98,63,123
36.75,100,58,130
37,102,51,137
37.25,112,52,130
37.5,110,61,130
37.75,102,63,139
38,106,61,134
38.25,104,67,130
38.5,118,58,139
38.75,115,56,137
39,121,56,132
39.25,113,64,144
39.5,122,55,140
39.75,108,55,143
40,118,51,145
40.25,133,47,147
40.5,127,48,145
40.75,124,53,144
41,124,50,150
41.25,127,53,134
41.5,128,55,145
41.75,129,48,144
42,144,46,145
42.25,129,53,138
42.5,143,50,141
42.75,119,56,137
43,132,52,133
43.25,137,58,153
43.5,130,59,157
43.75,128,63,153
44,132,63,150
44.25,133,81,184
44.5,128,94,179
44.75,151,58,139
45,140,62,143
45.25,144,56,145
45.5,144,61,134
45.75,129,65,133
46,122,73,133
46.25,140,63,147
46.5,145,61,141
46.75,139,65,142
47,134,73,134
47.25,155,60,148
47.5,141,68,140
47.75,158,69,134
